split,solver,n,coefficient,solution,time,iterations,relative_error,max_error,relative_residual,finite,valid,time_range
held_out,WJ,32,contrast,low,0.0005009024989703903,19,1.2963688222852796e-09,1.2934374682416205e-09,1.29636890530135e-09,True,True,1.740899824653752e-05
held_out,RBGS,32,contrast,low,0.00022683150018565357,2,5.401417686821862e-10,7.619026520799821e-10,5.408358047731202e-10,True,True,8.108996553346515e-06
held_out,CG,32,contrast,low,0.002592167000329937,69,5.897824348203222e-08,3.215590233529575e-07,9.474486515368113e-09,True,True,0.000665181996737374
held_out,PCG,32,contrast,low,6.517000110761728e-05,2,6.511305213038828e-10,1.5866426922306331e-09,2.9956647509640133e-10,True,True,2.7800015232060105e-06
held_out,WJ+CG,32,contrast,low,0.0011443165003584,36,4.868413211061437e-08,2.1533607097445895e-07,7.740717925479387e-09,True,True,3.771300180233084e-05
held_out,WJ,64,smooth,mixed,0.0011242330001550727,19,1.2643226190015664e-09,1.5793564234201085e-09,1.2643224506505713e-09,True,True,3.084800118813291e-05
held_out,RBGS,64,smooth,mixed,0.0006848469984106487,2,9.141744415517326e-12,1.6111556533360272e-11,9.143560178766764e-12,True,True,7.752400051685981e-05
held_out,CG,64,smooth,mixed,0.0009253850003005937,13,7.319822559334167e-09,3.7129408769764893e-08,6.019577006657855e-09,True,True,2.5189998268615454e-05
held_out,PCG,64,smooth,mixed,0.00016716200116206892,2,4.639901142269931e-12,2.6179530765446657e-11,4.495270684512586e-12,True,True,5.547200271394104e-05
held_out,WJ+CG,64,smooth,mixed,0.0006178909989102976,7,7.229007770303611e-09,2.978836088907144e-08,5.936338699623491e-09,True,True,5.136199979460798e-05
held_out,WJ,128,constant,polyexp,0.0032548580020375084,19,1.2562081771234777e-09,9.494809105614621e-11,1.2562081812246882e-09,True,True,0.0
held_out,RBGS,128,constant,polyexp,0.0023066489993652795,2,1.532956158384978e-13,1.6389667401028873e-14,1.5330432852500255e-13,True,True,0.0
held_out,CG,128,constant,polyexp,0.00019003600027645007,1,8.722093220045644e-09,1.2252792907889443e-09,8.722104099908382e-09,True,True,0.0
held_out,PCG,128,constant,polyexp,0.0001818410019041039,1,8.72209322092926e-09,1.2252792994625616e-09,8.722104101428872e-09,True,True,0.0
held_out,WJ+CG,128,constant,polyexp,0.00020590799977071583,1,1.5590115259044e-12,2.1896113394648253e-13,1.5590119183525354e-12,True,True,0.0
held_out,WJ,128,anisotropic,polyexp,0.0031517549978161696,19,1.2562081620877896e-09,9.494811881172183e-11,1.2562081824946323e-09,True,True,0.0
held_out,RBGS,128,anisotropic,polyexp,0.0030876900018483866,2,1.5329531099520727e-13,1.6403545188836688e-14,1.5330771064512616e-13,True,True,0.0
held_out,CG,128,anisotropic,polyexp,0.0024473519988532644,11,1.8605638868373175e-09,6.240479643454533e-10,1.7406619291448898e-09,True,True,0.0
held_out,PCG,128,anisotropic,polyexp,0.0001864830010163132,1,1.1491600286523669e-08,1.976725573157867e-09,9.984970457927655e-09,True,True,0.0
held_out,WJ+CG,128,anisotropic,polyexp,0.0016284769990306813,6,2.61745496622036e-09,6.607843473782626e-10,2.455261703065611e-09,True,True,0.0
held_out,WJ,64,contrast,mixed,0.0010287575005349936,19,1.2643226454989697e-09,1.5793650831597006e-09,1.2643337943473813e-09,True,True,1.3763001334154978e-05
held_out,RBGS,64,contrast,mixed,0.000636200498774997,2,9.142358082485759e-12,1.6147305714753202e-11,9.173661843466488e-12,True,True,0.00019484300355543382
held_out,CG,64,contrast,mixed,0.005162913001186098,75,6.160517691764437e-08,5.487565530870597e-07,9.309665058695157e-09,True,True,0.0003703820002556313
held_out,PCG,64,contrast,mixed,0.0001509140001871856,2,2.6474823873218845e-11,1.582094455443439e-10,8.937686689359933e-12,True,True,2.1561998437391594e-05
held_out,WJ+CG,64,contrast,mixed,0.00259945899961167,37,6.280064499512062e-08,4.0743968254819407e-07,8.763431386327471e-09,True,True,0.000343359999533277
