solver,repeat,seconds,iterations,relative_residual
CG,1,0.001567895,13,6.019576997191416e-09
CG,2,0.001910853,13,6.019576997191416e-09
CG,3,0.001622296,13,6.019576997191416e-09
CG,4,0.001432397,13,6.019576997191416e-09
CG,5,0.001771982,13,6.019576997191416e-09
diagonal_PCG,1,0.000283252,2,4.495270624128558e-12
diagonal_PCG,2,0.000282884,2,4.495270624128558e-12
diagonal_PCG,3,0.000278703,2,4.495270624128558e-12
diagonal_PCG,4,0.000278047,2,4.495270624128558e-12
diagonal_PCG,5,0.00027679,2,4.495270624128558e-12
